adj_edge_jaccard,arm,clips,division_fn,division_fp,division_jaccard,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,matched_nodes,n,n_adj,node_recall,num_pred_nodes,score,status,delta_P0,delta_C4_m6,node_adjustment,reason,seed
0.9171439230800242,P0,71,19,22,0.14583333333333334,7,957,1087,0.9022617510639315,18869,44b6,19968,71,71,0.9877569341470968,1972750,0.9317272564133575,measured,0.0,-0.0019772970673124224,0.014882172016092765,,
0.9240021398546523,P0,128,103,70,0.11282051282051282,22,4754,3909,0.9233132092842095,104303,6bba,110868,128,128,0.9795753914358454,2136193,0.9352841911367036,measured,0.0,9.647160287518108e-05,0.0006889305704428361,,
0.9170378868140032,C4_m6,71,18,22,0.16666666666666666,8,960,1086,0.9021614384085692,18866,44b6,19968,71,71,0.9877569341470968,1972750,0.9337045534806699,measured,0.0019772970673124224,0.0,0.014876448405434006,,
0.9239056682517771,C4_m6,128,103,70,0.11282051282051282,22,4790,3882,0.923215186959332,104267,6bba,110868,128,128,0.9795753914358454,2136193,0.9351877195338284,measured,-9.647160287518108e-05,0.0,0.0006904812924450887,,
0.9170811353885086,C0,71,19,22,0.14583333333333334,7,960,1085,0.9022045813208359,18866,44b6,19968,71,71,0.9877569341470968,1972750,0.9316644687218418,measured,-6.278769151568664e-05,-0.002040084758828109,0.014876554067672632,,
0.9239397328152761,C0,128,103,70,0.11282051282051282,22,4788,3880,0.9232492451543781,104269,6bba,110868,128,128,0.9795753914358454,2136193,0.9352217840973274,measured,-6.240703937621106e-05,3.4064563498970024e-05,0.0006904876608979649,,
0.9171439230800242,D00,71,19,22,0.14583333333333334,7,957,1087,0.9022617510639315,18869,44b6,19968,71,71,0.9877569341470968,1972750,0.9317272564133575,measured,0.0,-0.0019772970673124224,0.014882172016092765,,
0.9240021398546523,D00,128,103,70,0.11282051282051282,22,4754,3909,0.9233132092842095,104303,6bba,110868,128,128,0.9795753914358454,2136193,0.9352841911367036,measured,0.0,9.647160287518108e-05,0.0006889305704428361,,
0.9121038889040101,D10_adapted,71,19,87,0.061946902654867256,7,980,1177,0.8973003856591916,18846,44b6,19968,71,71,0.9877569341470968,1972750,0.9182985791694968,measured,-0.013428677243860765,-0.015405974311173187,0.014803503244818494,,
0.9147716836958997,D10_adapted,128,94,763,0.03490990990990991,31,4969,4813,0.9140950206375692,104088,6bba,110868,128,128,0.9795753914358454,2136193,0.9182626746868907,measured,-0.017021516449812868,-0.016925044846937687,0.0006766630583304734,,
0.9121907518047199,D10_adapted_replacement,71,19,85,0.06306306306306306,7,980,1175,0.8973858387695824,18846,44b6,19968,71,71,0.9877569341470968,1972750,0.9184970581110262,measured,-0.013230198302331297,-0.01520749536964372,0.014804913035137424,,
0.9147891721933196,D10_adapted_replacement,128,94,764,0.03487064116985377,31,4967,4813,0.9141125845262141,104090,6bba,110868,128,128,0.9795753914358454,2136193,0.918276236310305,measured,-0.017007954826398608,-0.016911483223523427,0.0006765876671054327,,
0.9120616064034204,D10_frozen,71,18,88,0.07017543859649122,8,980,1178,0.8972576652066273,18846,44b6,19968,71,71,0.9877569341470968,1972750,0.9190791502630695,measured,-0.012648106150287997,-0.014625403217600419,0.014803941196793069,,
0.9146591592791243,D10_frozen,128,91,861,0.034482758620689655,34,4922,4879,0.9139780227496138,104135,6bba,110868,128,128,0.9795753914358454,2136193,0.9181074351411933,measured,-0.017176755995510273,-0.017080284392635092,0.0006811365295105176,,
0.9116568812057821,D20_compact,71,17,138,0.054878048780487805,9,957,1213,0.8968582156946623,18869,44b6,19968,71,71,0.9877569341470968,1972750,0.9171446860838309,measured,-0.01458257032952659,-0.016559867396839012,0.014798665511119857,,
0.9152169628338295,D20_compact,128,86,1107,0.03165584415584415,39,4738,5011,0.9145334361959533,104319,6bba,110868,128,128,0.9795753914358454,2136193,0.9183825472494139,measured,-0.016901643887289652,-0.01680517228441447,0.0006835266378761862,,
0.9146060799372661,D20_no_pretrain,71,19,59,0.08235294117647059,7,967,1134,0.8997614503816794,18859,44b6,19968,71,71,0.9877569341470968,1972750,0.9228413740549131,measured,-0.008885882358444452,-0.010863179425756875,0.01484462955558663,,
0.9152034275665205,D20_no_pretrain,128,96,657,0.0370843989769821,29,5003,4722,0.9145272853514269,104054,6bba,110868,128,128,0.9795753914358454,2136193,0.9189118674642187,measured,-0.016372323672484868,-0.016275852069609686,0.0006761422150936003,,
0.9136024397191478,D20_temporal,71,19,93,0.058823529411764705,7,959,1166,0.8987709603658537,18867,44b6,19968,71,71,0.9877569341470968,1972750,0.9194847926603242,measured,-0.012242463753033284,-0.014219760820345706,0.014831479353294097,,
0.9158330136692395,D20_temporal,128,87,959,0.03505535055350553,38,4784,4884,0.9151490683774937,104273,6bba,110868,128,128,0.9795753914358454,2136193,0.9193385487245901,measured,-0.015945642412113492,-0.01584917080923831,0.0006839452917458688,,
0.9136024397191478,D20_temporal_replacement,71,19,93,0.058823529411764705,7,959,1166,0.8987709603658537,18867,44b6,19968,71,71,0.9877569341470968,1972750,0.9194847926603242,measured,-0.012242463753033284,-0.014219760820345706,0.014831479353294097,,
0.9158885252554236,D20_temporal_replacement,128,89,950,0.03348837209302326,36,4785,4876,0.9152045500425688,104272,6bba,110868,128,128,0.9795753914358454,2136193,0.919237362464726,measured,-0.016046828671977598,-0.015950357069102417,0.0006839752128547927,,
,D10_random,,,,,,,,,,44b6,,,,,,,not run,,,,Organoid family did not qualify in both source directions; conditional control was not authorized,20260915
,D10_random,,,,,,,,,,6bba,,,,,,,not run,,,,Organoid family did not qualify in both source directions; conditional control was not authorized,20260915
,A10,,,,,,,,,,44b6,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,20260915
,A10,,,,,,,,,,6bba,,,,,,,not run,,,,2/2 directional fits complete; all-199 target score unavailable,20260915
