key,source,family,seed,tiny,step,loss,seconds,gradient_norm,seen_rows,seen_windows,seen_positives,gpu_gib,rss_gib
44b6_H1_20260910,44b6,H1,20260910,False,1,6.732249736785889,0.24386746110394597,110.91693878173828,8192.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,101,0.20676320791244507,0.41318396385759115,13.971344947814941,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,201,0.15132220089435577,0.6231263042427599,17.545984268188477,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,301,0.131717711687088,0.8246333273127675,28.913719177246094,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,401,0.12988783419132233,1.0356377381831408,18.37241554260254,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,501,0.14615972340106964,1.234316268004477,2.295708656311035,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,601,0.12366873025894165,1.4277076940052211,9.44951343536377,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,701,0.12214569002389908,1.625395115930587,11.12159252166748,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,801,0.12099044024944305,1.8326839283108711,5.885349750518799,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,901,0.12224891036748886,2.041406352072954,3.9296791553497314,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1001,0.11986250430345535,2.239365281071514,3.4191091060638428,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1101,0.11888691037893295,2.4353984841145575,15.758652687072754,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1201,0.1187618225812912,2.6325804609805346,4.357154369354248,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1301,0.11925292015075684,2.829266002867371,22.274646759033203,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1401,0.12307330965995789,3.0272788838483393,9.247912406921387,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1501,0.12050867080688477,3.234943156130612,2.3022518157958984,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1601,0.12039415538311005,3.4435109649784863,4.789985656738281,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1701,0.11752273887395859,3.640155605971813,8.262978553771973,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1801,0.11620273441076279,3.83749553700909,16.9796199798584,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,1901,0.11750920861959457,4.034770706202835,4.771211624145508,43185.0,,,,
44b6_H1_20260910,44b6,H1,20260910,False,2000,0.12172449380159378,4.232531329151243,10.560111045837402,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1,6.731544494628906,0.25607080400004634,106.8255844116211,8192.0,,,,
44b6_H1_314159,44b6,H1,314159,False,101,0.20796102285385132,0.3668346009999368,4.056964874267578,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,201,0.14267592132091522,0.47649525799988623,3.6362953186035156,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,301,0.1314985454082489,0.5883363160000954,12.188721656799316,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,401,0.22064852714538574,0.6969208820000858,4.507336616516113,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,501,0.12694263458251953,0.8062376380003116,11.606982231140137,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,601,0.12220141291618347,0.9136696619998474,13.069612503051758,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,701,0.1254313737154007,1.0215711179998834,5.071324348449707,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,801,0.22016853094100952,1.1339009000002989,22.404232025146484,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,901,0.12416671216487885,1.2422710789996927,11.085977554321289,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1001,0.35961106419563293,1.3494089340001665,71.23975372314453,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1101,0.11872413009405136,1.460339426000246,6.931898593902588,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1201,0.1172480583190918,1.5670765100003337,12.450947761535645,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1301,0.1164630725979805,1.6743220870002915,19.31355857849121,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1401,0.11748683452606201,1.7817391399994449,9.308882713317871,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1501,0.1190292164683342,1.8887329299996054,4.221820831298828,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1601,0.11775773018598557,1.9968529629995828,13.521905899047852,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1701,0.12012217938899994,2.107832665999922,6.6663994789123535,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1801,0.11955191940069199,2.2155656280001494,13.613688468933105,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,1901,0.13279756903648376,2.3225452970000333,20.17998695373535,43185.0,,,,
44b6_H1_314159,44b6,H1,314159,False,2000,0.1997651606798172,2.431437661999553,31.97003746032715,43185.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1,5.001382827758789,0.24723427800017816,73.99755859375,8192.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,101,0.14064912497997284,0.4156899110002996,4.932249546051025,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,201,0.10548360645771027,0.6109303339999315,22.92776107788086,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,301,0.10910757631063461,0.8064260649998687,37.70148849487305,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,401,0.09716378897428513,1.0009815460007303,14.304598808288574,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,501,0.10202934592962265,1.194495256000664,8.151161193847656,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,601,0.09406240284442902,1.388580493000518,2.6192922592163086,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,701,0.09391439706087112,1.5820261600001686,6.631752967834473,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,801,0.09056583791971207,1.7761767380006859,4.137325286865234,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,901,0.0937865674495697,1.965532429000632,13.998650550842285,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1001,0.09035425633192062,2.151983701000063,8.842374801635742,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1101,0.08993427455425262,2.3465012610004123,16.697803497314453,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1201,0.08960843086242676,2.5439579190006043,13.18000316619873,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1301,0.17269942164421082,2.738511969000683,17.046846389770508,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1401,0.09118903428316116,2.9332340529999783,1.8303145170211792,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1501,0.08912184834480286,3.1273156570005085,4.818028450012207,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1601,0.0886371061205864,3.3209590080005,6.575971603393555,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1701,0.08827793598175049,3.5155412780004553,1.3916828632354736,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1801,0.09332653135061264,3.7104638569999224,4.952256202697754,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,1901,0.1810225546360016,3.9063667160007753,19.722597122192383,220881.0,,,,
6bba_H1_20260910,6bba,H1,20260910,False,2000,0.0893818736076355,4.098835710000458,12.171862602233887,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,1,4.997857093811035,0.26872494500003086,77.44217681884766,8192.0,,,,
6bba_H1_314159,6bba,H1,314159,False,101,0.13755805790424347,0.4282527959994695,1.8161461353302002,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,201,0.1138131320476532,0.6185957279994909,25.757022857666016,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,301,0.2901240587234497,0.8075783929998579,18.187423706054688,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,401,0.0952305942773819,0.9988711910000347,12.719017028808594,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,501,0.09547296166419983,1.1963367830003335,13.95618724822998,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,601,0.10046713054180145,1.3926194109999415,7.601612091064453,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,701,0.17523884773254395,1.534603500999765,10.575602531433105,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,801,0.09202348440885544,1.6769422709994615,8.783044815063477,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,901,0.09459076821804047,1.8412754359997052,10.14858341217041,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,1001,0.09176280349493027,2.029174168999816,10.019400596618652,220881.0,,,,
6bba_H1_314159,6bba,H1,314159,False,1101,0.08944983780384064,2.2164434360001906,4.308596611022949,220881.0,,,,
