dataset,embryo,variant,predicted_tp_pairs_lost,predicted_tp_pairs_new,predicted_tp_pairs_retained,fp_pairs_lost,fp_pairs_new,fp_pairs_retained,recovered_gt_edges_lost,recovered_gt_edges_new,recovered_gt_edges_retained
6bba_05db0fb1,6bba,A_residual_m3.0,0,0,1106,0,2,76,0,0,1106
6bba_062c8d37,6bba,A_residual_m3.0,0,0,897,0,0,1,0,0,897
6bba_07477033,6bba,A_residual_m3.0,0,0,595,0,1,10,0,0,595
6bba_07e24132,6bba,A_residual_m3.0,0,0,309,0,0,17,0,0,309
6bba_085bf656,6bba,A_residual_m3.0,0,0,1162,0,0,2,0,0,1162
6bba_09961292,6bba,A_residual_m3.0,0,2,1794,0,1,92,0,2,1794
6bba_0c7fa718,6bba,A_residual_m3.0,0,0,638,0,0,13,0,0,638
6bba_0e7c0d07,6bba,A_residual_m3.0,0,0,176,0,0,18,0,0,176
6bba_12665c0e,6bba,A_residual_m3.0,0,2,963,0,1,5,0,2,963
6bba_13f19531,6bba,A_residual_m3.0,0,1,697,0,0,8,0,1,697
6bba_15403b9a,6bba,A_residual_m3.0,0,3,715,0,0,10,0,3,715
6bba_1d0d8384,6bba,A_residual_m3.0,0,0,1261,0,2,77,0,0,1261
6bba_1ebfb80d,6bba,A_residual_m3.0,0,0,689,0,0,19,0,0,689
6bba_1f58c2f6,6bba,A_residual_m3.0,0,0,269,0,0,34,0,0,269
6bba_207c6aaf,6bba,A_residual_m3.0,0,1,355,0,1,67,0,1,355
6bba_20852818,6bba,A_residual_m3.0,0,0,846,0,0,29,0,0,846
6bba_2312ac41,6bba,A_residual_m3.0,0,0,1124,0,0,8,0,0,1124
6bba_23af9eeb,6bba,A_residual_m3.0,0,0,499,0,0,0,0,0,499
6bba_2540cd90,6bba,A_residual_m3.0,0,0,523,0,0,0,0,0,523
6bba_2646afc7,6bba,A_residual_m3.0,0,1,699,0,0,16,0,1,699
6bba_268e1230,6bba,A_residual_m3.0,0,3,575,0,1,19,0,3,575
6bba_2819ca14,6bba,A_residual_m3.0,0,7,926,0,0,4,0,7,926
6bba_283bf9f1,6bba,A_residual_m3.0,0,1,1253,0,0,20,0,1,1253
