variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,delta_v2
C_v2_E_native_canonical,44b6,71,71,0.8851274248763789,0.1,5,24,21,0.9877569341470968,0.8998414624839461,71,0.9098414624839462,18616,1206,1210,1972750,85.69893472921103,-0.021770924293384786
C_v2_E_native_canonical,6bba,128,128,0.9006762912607751,0.09137055837563451,18,72,107,0.9795753914358454,0.9013568057580346,128,0.910493861595598,102814,5095,6243,2136193,128.23306698491797,-0.024031388273935028
C_v2_E_native_canonical,pooled,199,199,0.8982571902000237,0.0931174089068826,23,96,128,0.982494434312724,0.9011210478300207,199,0.910432788720709,121430,6301,7453,4108943,213.932001714129,-0.02377352624963136
D_existing_p005_control,44b6,71,71,0.8801594746716698,0.022598870056497175,8,328,18,0.9877569341470968,0.8946807439891785,71,0.8969406309948282,18765,1494,1061,1972750,86.76062925159931,-0.0346717557825027
D_existing_p005_control,6bba,128,128,0.9111115003327845,0.03712671509281679,46,1114,79,0.9795753914358454,0.9117948128718436,128,0.9155074843811253,104038,5131,5019,2136193,128.89580432372168,-0.019017765488407723
D_existing_p005_control,pooled,199,199,0.9062416979071346,0.03389830508474576,54,1442,97,0.982494434312724,0.9091021899375635,199,0.912492020446038,122803,6625,6080,4108943,215.656433575321,-0.02171429452430229
D_existing_p020,44b6,71,71,0.8864436206653841,0.02517162471395881,11,411,15,0.9877569341470968,0.9011001039680656,71,0.9036172664394615,18891,1485,935,1972750,86.28554277028888,-0.02799512033786944
D_existing_p020,6bba,128,128,0.9130335859425591,0.03994490358126722,58,1327,67,0.9795753914358454,0.9137104928375006,128,0.9177049831956273,104336,5217,4721,2136193,129.13373861135915,-0.01682026667390568
D_existing_p020,pooled,199,199,0.9088542242873474,0.036527263102170464,69,1738,82,0.982494434312724,0.9117284151947191,199,0.9153811415049362,123227,6702,5656,4108943,215.41928138164803,-0.018825173465404133
D_image_p010,44b6,71,71,0.8850044699571825,0.030405405405405407,9,270,17,0.9877569341470968,0.8995958471092471,71,0.9026363876497877,18809,1427,1017,1972750,85.95550454827026,-0.028975999127543228
