adj_edge_jaccard,dataset,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,estimated_total,graph_hash,gt_node_recall,matched_nodes,metric_revision,node_recall,num_pred_nodes,total_node_ratio,variant
0.9263961369942796,44b6_40c45f5a,0,0,0,6,11,0.9186602870813397,192,44b6,32681,a8d4f036605c372928f22345b56094067c6b6766083856803a35a75f34692c7c,1.0,200,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,29929,-0.08420794957314648,A_residual_m3.0
0.9717158157329132,44b6_415c0a3a,0,0,0,10,12,0.9341317365269461,312,44b6,57292,5a684d3a4ec3898603b952f8f87995524aef77b1a60fc29f140847a0bca3ecb7,1.0,331,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,34241,-0.4023423863715702,A_residual_m3.0
0.9604941606243427,44b6_53f95252,0,0,0,2,2,0.9428571428571428,66,44b6,38715,abcf86488d9e53e7feff32b1baa012a76add54715a6bd472aabc517db8ab47f1,1.0,70,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,31473,-0.1870592793490895,A_residual_m3.0
0.8051518895264926,44b6_551a5dba,0,1,0,26,33,0.7704280155642024,198,44b6,57627,3bf23784084aaa2a359dec872c8808175300a65b8a0bdf4ef5a6d86dacb04f3d,0.9780701754385965,223,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9780701754385965,31654,-0.4507088691064952,A_residual_m3.0
1.023701372031193,44b6_5740d24b,0,0,0,2,1,0.9824561403508771,168,44b6,19730,b72c95b3199638461070c970980c4a38614db27d8aac0404df5191d1833aced4,1.0,173,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,11447,-0.419817536746072,A_residual_m3.0
0.9751402739668176,44b6_587a1e22,0,0,1,3,5,0.9787234042553191,368,44b6,18137,a8ec5380571eea27e97fe659ffcdf4671de2f18c899fe83b4f368340556b0542,1.0,381,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,18801,0.036610244252081384,A_residual_m3.0
0.9089752596515862,44b6_5f15d135,1,0,0,16,17,0.8862068965517241,257,44b6,29519,3fd9cdd4b9f9e7cc6c92ddb90244ba952aceb80a88843329d7019534af076104,0.9856115107913669,274,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9856115107913669,21935,-0.2569192723330736,A_residual_m3.0
0.9600843954263641,44b6_668e0cc7,0,0,0,14,21,0.946319018404908,617,44b6,39701,b884d72000e65661b796790cab14bee629a37ca5aed65af399bed412934fdc05,0.9984447900466563,642,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9984447900466563,33926,-0.14546233092365432,A_residual_m3.0
1.039217046101309,44b6_66f9292d,0,0,0,1,2,0.985,197,44b6,52710,fbf1220008817ad17ff8387a7875d556e88834829da4a0ab7280dce5c23bb335,1.0,200,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,23697,-0.5504268639726807,A_residual_m3.0
0.7575070369062297,44b6_706092f0,1,0,0,21,17,0.7164179104477612,96,44b6,69898,7dcf59cf1cdf2c0f0692568df4b5ee43183679c4987f0905f468b9385bde1cba,0.9491525423728814,112,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9491525423728814,29809,-0.5735357234827893,A_residual_m3.0
0.7260197906010947,44b6_71a4179f,0,1,0,19,26,0.6896551724137931,100,44b6,67688,814e9f6acfe8f3f62f6201015f534e125791f403f516132c7da66b151d73019f,0.9752066115702479,118,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9752066115702479,31997,-0.5272869637158728,A_residual_m3.0
0.956046342633852,44b6_74d0c52e,1,0,0,6,6,0.9172413793103448,133,44b6,15090,b27a2a71f57746309dab4b2b514ae6f6421f33aeb6d40f10872a2ce4a332eb19,1.0,140,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,8706,-0.42306163021868787,A_residual_m3.0
0.9531534045312551,44b6_7a302da0,1,0,0,17,24,0.9227871939736346,490,44b6,66858,c5fd7f858ff2d1cbda0902603b10ed3fd4927d68f53df476b3de0e4e6e8894f0,1.0,516,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,44857,-0.3290705674713572,A_residual_m3.0
0.9664278566642759,44b6_7e557709,0,0,0,16,14,0.9477351916376306,544,44b6,56060,d024a63a46901d6ea03f0861ea5b8e6dbdb49c57e554df1ee3797cbf613c8d2b,0.9929824561403509,566,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9929824561403509,45003,-0.197235105244381,A_residual_m3.0
1.0041100241392453,44b6_808952d6,0,0,0,0,0,1.0,179,44b6,15742,794d6d0b7a84a76531c17dd1d477254fb39c533f0bf4a56aaaba15da3e9db720,1.0,181,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,15095,-0.04110024139245331,A_residual_m3.0
0.9877437325905293,44b6_81c256f0,0,0,0,0,0,1.0,197,44b6,10052,3f1d8bc910b4abd380bfde1f9014d2bfd021197d21bae665c022ef78a3f46e3e,1.0,199,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,11284,0.12256267409470752,A_residual_m3.0
0.6038993590219217,44b6_87bba6c4,0,1,0,35,39,0.6063829787234043,114,44b6,28102,514cecd84f0614c8ead31e8c0806c0d0c0f24cf8ddb5349938de82ff7746f7e5,0.934640522875817,143,075fc5f5a52d11077f9dc2b074644618f26939e2,0.934640522875817,29253,0.040957938936730484,A_residual_m3.0
0.9997625944627231,44b6_8cc6506c,0,0,0,10,6,0.9601990049751243,386,44b6,32172,64e3b926b7c4e91cc6df26d73d3327b0aac04e52c182c5db8f1bfe0a8cd9b893,0.995,398,075fc5f5a52d11077f9dc2b074644618f26939e2,0.995,18916,-0.41203531020763395,A_residual_m3.0
0.8626784596172499,44b6_8f5ab931,0,3,0,40,49,0.8637059724349158,564,44b6,27571,b6604de2986c5e7c97f79d0125a9b11aea87e43bf1e360556d6856c2a3bc5bad,0.9821428571428571,605,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9821428571428571,27899,0.011896557977585143,A_residual_m3.0
1.014402636982793,44b6_8f9ecab4,0,0,0,6,5,0.9706666666666667,364,44b6,74833,3e678c96174315e48e11fb0afe865f3bca01600481bdbc5633f3b9e481750bda,1.0,374,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,41115,-0.4505766172677829,A_residual_m3.0
0.8032402674476962,44b6_90724892,0,0,0,9,15,0.7966101694915254,94,44b6,25532,cc05c19800d2a38854f84491e3a66ea8991a71e5d89970e578dad98bdf291e8b,1.0,105,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,23407,-0.08322888923703588,A_residual_m3.0
0.8184841187937163,44b6_949adeb1,0,0,0,34,40,0.8229665071770335,344,44b6,37179,cf6c11ffe202996b101ec28fc4e18ad98ebf0d23d70192860c50c4fe4906bfc0,0.9768041237113402,379,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9768041237113402,39204,0.054466230936819175,A_residual_m3.0
