adj_edge_jaccard,dataset,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,estimated_total,graph_file_sha256,graph_hash,gt_node_recall,gt_sha256,input_manifest_sha256,matched_nodes,metric_revision,node_recall,num_pred_nodes,scorer_hash,seconds,total_node_ratio,validation_edges,validation_forks,validation_nodes,validation_out_of_bounds,validation_valid,variant
0.8438262435757429,44b6_267148e4,0,3,1,17,26,0.858085808580858,260,44b6,19130,3d711adb12dfa54c2c9288cb7d9ef329e5d8c66f2e518131b1a094f31abdc208,66e8f4625fa6ec354403db37bbca13683b4703c0b405ac9d1bac3a1b7523d3ba,0.9964285714285714,39f7a8c69214feaab8aaa8e3b1aef20f253a1d779901a2347d70dcbb0e6bd667,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,279,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9964285714285714,22309,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.1554805329069495,0.1661787767903816,21524,300,22309,0,True,ADR_primary
0.8782309348279715,44b6_2a2eff9f,1,1,0,12,22,0.853448275862069,198,44b6,56367,2e8e970c4dc5e321d56a1b69e875f6a5e394b81f67cd7f5557818d961b357061,125f43aba872e4e936e75a63ca162aa13f2606ec8814dd1cfd60da75d604858c,1.0,9643390912842976c6a5c01fb3057784994c21b88ceaee9ca1267336fdea71ae,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,214,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,39999,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.9420388778671622,-0.2903826707115866,38599,603,39999,0,True,ADR_primary
0.5429318751816411,44b6_2f31fc2f,0,1,0,20,37,0.5327868852459017,65,44b6,24368,42c02eed32cf18f2f09df0d8a5fbd066a8fde4c86bc5c700316f36e3654c2eba,44becb28d218a63f3dbe7535059af37dfce7efde64ce0382100efc63a8acf80c,1.0,bd30bdca3cae1d7f9c6cb83578fd78fcd2a146a7f0bd234a691a74111f2fa32f,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,89,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,19728,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,0.7142267697490752,-0.19041365725541695,18616,168,19728,0,True,ADR_primary
0.9388285721489625,44b6_33b596bf,0,1,0,1,2,0.9411764705882353,48,44b6,23330,55fbfed15330874937e5ddb59ddfb880089d4d2bc61a130e2bcc5090bbf18395,b391f5c6d74e74d6949bd43bb22ad495ab67e99b587365d9fa963f49c0c8691c,1.0,4113d4d244eb3f04877ebc213cecc7df94de2df9b9bc1f5cb604906a06e3dd79,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,50,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,23912,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,0.9247140269726515,0.024946420917273896,23185,287,23912,0,True,ADR_primary
0.9778267758490142,44b6_341df25f,0,2,1,0,2,0.990521327014218,209,44b6,7436,ec548def75379447b5be61304d5768383ccc962b3aece7b781c3edb301e5e0d0,17cb45ec19ae551b34050561f362f82544e520b951c2e3eee3b15d4efbb2670a,1.0,0cf5f0566cf146b1ec41a6c9d6e303235924f4e1035c33af0fa275b061805abc,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,216,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,8389,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,0.52881422592327,0.12816030123722433,8225,110,8389,0,True,ADR_primary
0.9309876513393016,44b6_3a861e03,0,13,0,30,45,0.9221991701244814,889,44b6,40546,7f4349e437514bcf686c205bc4552ab4235a5444ec6c519211cb66f00e0704c3,a62404919c4abef04111f55cd3a5567e96c1aa8629cdb3e260f10e9496989063,0.9882352941176471,e7de3156439f9db2527853dc67ee66e2f4b8a829b0dbda0f63c8930dbfd44d7f,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,924,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9882352941176471,36682,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.5379644562490284,-0.09529916637892764,36013,519,36682,0,True,ADR_primary
0.8827156241628484,44b6_3bb3690f,0,11,0,25,45,0.8412698412698413,371,44b6,31937,7c725890cd88dc530e11ba45ad41c764c638de9744a818bc44f9309ada7c912d,c2abca05bec8f643b1ce50f8539f9d2154a8bac74cd22f5aa7f617b649384593,0.9925,fc1421e949308326471b34084eea8698cb5f4bcc5a8f74c01a491cd39662effe,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,397,075fc5f5a52d11077f9dc2b074644618f26939e2,0.9925,16203,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,0.6627992042340338,-0.4926574192942355,15738,242,16203,0,True,ADR_primary
0.9132451894904027,44b6_40c45f5a,0,2,0,6,14,0.9056603773584906,192,44b6,32681,27505ae9e448705308b16262754fafa7623a345b3176814698d720252c23cf39,67cb28fe25e97017fe6bffd9709361708c9f8cadbf7548e3d3126cea36c39e30,1.0,9ba1bbf38c215ad27490e4b3eae4e599ed733708ad08a00c62a1dec4ac0e63a3,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,200,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,29944,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.2528792209923267,-0.08374896728986261,28985,458,29944,0,True,ADR_primary
0.9754125205024974,44b6_415c0a3a,0,5,0,6,15,0.9376854599406528,316,44b6,57292,de1526b066171ba2d1570aa3b4700bb5268c7abfa70a28b7a9d555837e39ab6c,41af1f4975971c3c2e0162fd5d411ba27cbb4b37a143651ab1c295500ce4078a,1.0,4ddf9ce29d848644c83f667276933911d60d2a399ab1d06a4b7ec5c7432bdc6c,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,331,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,34241,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.2365118372254074,-0.4023423863715702,33219,514,34241,0,True,ADR_primary
0.9210217978589587,44b6_53f95252,0,2,0,2,5,0.9041095890410958,66,44b6,38715,7d4777a842961f2922f28d16b13bcd66d992c2922995ef7f915c9435a3dc9275,2c8510f5b0566ae55465fc3a5fbd1ee6794f46a8df0ff61fea1d840bcd3d6d51,1.0,a75e9ef963879f66e5c9316b7e02f78a75535cdebe589f8469f411acb0f63fc2,469a3cf2674d3dc7a6bed22248568eda27d223344392e2846ee253228dee2065,70,075fc5f5a52d11077f9dc2b074644618f26939e2,1.0,31473,a859d57bc80fbe6c03680ec8307ac40b9759a095bc716640dd433500ffeb0505,1.2583058048039675,-0.1870592793490895,30707,419,31473,0,True,ADR_primary
