dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
6bba_eebc57a5,6bba,0.8824811108800926,927,71,62,0,1,0,8497,0.8834330861884855,928,71,61,0,1,0,8497,0.0009519753083928606,1,0,-1,0,0,0,0
6bba_6ca87370,6bba,0.9932883185261768,1039,6,13,0,0,1,6371,0.9942443226826024,1040,6,12,0,0,1,6371,0.000956004156425605,1,0,-1,0,0,0,0
6bba_825bd1c6,6bba,0.929454736949238,897,44,33,0,2,0,6885,0.9304909183728156,898,44,32,0,2,0,6885,0.0010361814235776423,1,0,-1,0,0,0,0
6bba_12665c0e,6bba,0.9625447688687604,963,5,35,0,1,3,8104,0.9635831224057342,965,6,33,0,1,3,8104,0.0010383535369737906,2,1,-2,0,0,0,0
6bba_b693381b,6bba,0.97485768682162,928,7,7,0,0,0,6138,0.975908180018626,929,7,6,0,0,0,6138,0.0010504931970060083,1,0,-1,0,0,0,0
6bba_78a7bd97,6bba,0.8061669924725668,738,87,94,0,0,2,39035,0.8072593596710391,739,87,93,0,0,2,39035,0.0010923671984722771,1,0,-1,0,0,0,0
6bba_05b6850b,6bba,0.9679232433855084,829,15,16,0,0,0,6100,0.969090822689954,830,15,15,0,0,0,6100,0.001167579304445554,1,0,-1,0,0,0,0
6bba_b204cac7,6bba,0.9649604730177448,794,7,17,0,0,2,5391,0.966175788474946,795,7,16,0,0,2,5391,0.001215315457201216,1,0,-1,0,0,0,0
6bba_d0fc38b5,6bba,1.0051277282532276,812,0,1,0,0,0,5722,1.006365570283096,813,0,0,0,0,0,5722,0.00123784202986843,1,0,-1,0,0,0,0
6bba_ebff6e76,6bba,0.6651280360130146,1032,250,232,0,0,0,51671,0.6664170438347453,1034,250,230,0,0,0,51671,0.0012890078217306922,2,0,-2,0,0,0,0
6bba_aeee7805,6bba,0.9873961723492686,761,4,7,0,0,1,4950,0.9886936706046552,762,4,6,0,0,1,4950,0.0012974982553866088,1,0,-1,0,0,0,0
6bba_2646afc7,6bba,0.9528927123831582,699,16,22,0,1,0,5237,0.9542559351476548,700,16,21,0,1,0,5237,0.00136322276449663,1,0,-1,0,0,0,0
6bba_5b28472a,6bba,0.9815089138261388,714,3,10,0,0,0,5838,0.9828835761704332,715,3,9,0,0,0,5838,0.0013746623442943973,1,0,-1,0,0,0,0
6bba_13f19531,6bba,0.9798652240087038,697,8,7,0,1,0,5718,0.9812710564678268,698,8,6,0,1,0,5718,0.0014058324591229576,1,0,-1,0,0,0,0
6bba_9a41d029,6bba,0.9490513071627128,1312,28,41,1,1,1,18420,0.9504980317163144,1314,28,39,1,1,1,18420,0.0014467245536016193,2,0,-2,0,0,0,0
6bba_d1acb6ff,6bba,0.898103841820857,608,27,35,0,3,1,16237,0.899580986297536,609,27,34,0,3,1,16237,0.0014771444766790154,1,0,-1,0,0,0,0
6bba_969618f6,6bba,0.974049167674804,650,1,8,0,0,3,15619,0.9755477048558422,651,1,7,0,0,3,15619,0.0014985371810382064,1,0,-1,0,0,0,0
6bba_fbc898dc,6bba,0.9811764743190298,634,6,5,0,0,0,4977,0.982724071281678,635,6,4,0,0,0,4977,0.0015475969626482788,1,0,-1,0,0,0,0
6bba_ef7b4f7e,6bba,0.9777820913358573,1176,7,25,0,0,2,5839,0.9794449860490134,1178,7,23,0,0,2,5839,0.001662894713156171,2,0,-2,0,0,0,0
6bba_74686d6a,6bba,0.9273161642245448,554,28,22,0,1,2,26522,0.9289900201166468,555,28,21,0,1,2,26522,0.0016738558921020052,1,0,-1,0,0,0,0
6bba_ab78413d,6bba,0.7222735870107649,940,103,198,0,1,2,13533,0.7239953187686118,943,104,195,0,1,2,13533,0.001721731757846845,3,1,-3,0,0,0,0
6bba_7b5d3b2c,6bba,0.9730458446723884,544,7,11,0,0,0,5477,0.9748345318868598,545,7,10,0,0,0,5477,0.0017886872144713406,1,0,-1,0,0,0,0
6bba_c328f2fd,6bba,0.8353263467879869,440,27,60,0,0,2,31074,0.8372248157579596,441,27,59,0,0,2,31074,0.0018984689699726998,1,0,-1,0,0,0,0
6bba_3abfe10a,6bba,0.8126116792337208,842,99,93,1,0,0,53153,0.8145418732461525,844,99,91,1,0,0,53153,0.001930194012431663,2,0,-2,0,0,0,0
6bba_fc5f39dc,6bba,0.8885225623956009,427,10,31,0,0,2,17688,0.8906034114878623,428,10,30,0,0,2,17688,0.002080849092261361,1,0,-1,0,0,0,0
6bba_9e23430b,6bba,0.9479946724672904,863,22,28,0,0,1,7483,0.9501916473745148,865,22,26,0,0,1,7483,0.0021969749072243694,2,0,-2,0,0,0,0
6bba_d3da753b,6bba,0.9773263965257312,844,13,13,0,1,1,15964,0.9796423358539912,846,13,11,0,1,1,15964,0.0023159393282600194,2,0,-2,0,0,0,0
6bba_fc516dc6,6bba,0.9773110499968918,747,11,15,0,0,0,6975,0.9799276793141524,749,11,13,0,0,0,6975,0.002616629317260588,2,0,-2,0,0,0,0
6bba_80d12824,6bba,0.9405116419895864,626,16,28,1,0,0,8424,0.9435164715167098,628,16,26,1,0,0,8424,0.0030048295271234426,2,0,-2,0,0,0,0
6bba_474be664,6bba,0.7436896949487488,236,33,50,0,0,1,26810,0.7468409224697181,237,33,49,0,0,1,26810,0.003151227520969302,1,0,-1,0,0,0,0
6bba_61ecbe65,6bba,0.9815977757794536,605,5,9,0,0,1,5525,0.9848427271043444,607,5,7,0,0,1,5525,0.003244951324890777,2,0,-2,0,0,0,0
6bba_268e1230,6bba,0.923798389621339,575,19,34,0,0,1,4650,0.9271418667541635,578,20,31,0,0,1,4650,0.0033434771328245683,3,1,-3,0,0,0,0
6bba_43fea39d,6bba,0.9779558795198724,860,5,20,0,1,0,5381,0.9813673535181974,863,5,17,0,1,0,5381,0.0034114739983249764,3,0,-3,0,0,0,0
6bba_971fa5e0,6bba,1.0017619833997982,762,2,5,0,1,0,4994,1.0057059282163328,765,2,2,0,1,0,4994,0.003943944816534595,3,0,-3,0,0,0,0
6bba_15403b9a,6bba,0.9756132965597332,715,10,14,0,1,0,6313,0.9797067789229208,718,10,11,0,1,0,6313,0.004093482363187628,3,0,-3,0,0,0,0
6bba_a5e926bb,6bba,0.982747302611677,689,7,9,0,1,0,7970,0.9870263184430776,692,7,6,0,1,0,7970,0.004279015831400668,3,0,-3,0,0,0,0
6bba_f4ae811c,6bba,0.9806886526317158,954,3,11,0,0,0,9341,0.985828530266054,959,3,6,0,0,0,9341,0.005139877634338208,5,0,-5,0,0,0,0
6bba_5a4d9360,6bba,0.9918268377376912,713,2,9,0,0,0,5550,0.9973910836717036,717,2,5,0,0,0,5550,0.005564245934012391,4,0,-4,0,0,0,0
6bba_91951b3a,6bba,0.9833425599724276,1132,8,16,0,0,0,11408,0.9902919773573916,1140,8,8,0,0,0,11408,0.006949417384964018,8,0,-8,0,0,0,0
6bba_2819ca14,6bba,0.9817994721934536,926,4,23,0,0,1,4957,0.989221282458415,933,4,16,0,0,1,4957,0.007421810264961359,7,0,-7,0,0,0,0
44b6_d754aa59,44b6,0.922709447989858,67,2,3,1,0,0,5607,0.9364812307956768,68,2,2,1,0,0,5607,0.01377178280581881,1,0,-1,0,0,0,0
6bba_e5e44988,6bba,0.9685086197406064,614,5,20,0,0,0,5169,0.9842823757624404,624,5,10,0,0,0,5169,0.01577375602183395,10,0,-10,0,0,0,0
