dataset,embryo,adj_edge_jaccard_v2,edge_tp_v2,edge_fp_v2,edge_fn_v2,division_tp_v2,division_fp_v2,division_fn_v2,num_pred_nodes_v2,adj_edge_jaccard_selected,edge_tp_selected,edge_fp_selected,edge_fn_selected,division_tp_selected,division_fp_selected,division_fn_selected,num_pred_nodes_selected,delta_adj_edge_jaccard,delta_edge_tp,delta_edge_fp,delta_edge_fn,delta_division_tp,delta_division_fp,delta_division_fn,delta_num_pred_nodes
44b6_5740d24b,44b6,1.023701372031193,168,1,2,0,0,0,11447,1.023701372031193,168,1,2,0,0,0,11447,0.0,0,0,0,0,0,0,0
44b6_587a1e22,44b6,0.9751402739668176,368,5,3,1,0,0,18801,0.9751402739668176,368,5,3,1,0,0,18801,0.0,0,0,0,0,0,0,0
44b6_5f15d135,44b6,0.9089752596515862,257,17,16,0,0,1,21935,0.9089752596515862,257,17,16,0,0,1,21935,0.0,0,0,0,0,0,0,0
44b6_66f9292d,44b6,1.039217046101309,197,2,1,0,0,0,23697,1.039217046101309,197,2,1,0,0,0,23697,0.0,0,0,0,0,0,0,0
44b6_706092f0,44b6,0.7575070369062297,96,17,21,0,0,1,29809,0.7575070369062297,96,17,21,0,0,1,29809,0.0,0,0,0,0,0,0,0
44b6_71a4179f,44b6,0.7260197906010947,100,26,19,0,1,0,31997,0.7260197906010947,100,26,19,0,1,0,31997,0.0,0,0,0,0,0,0,0
44b6_74d0c52e,44b6,0.956046342633852,133,6,6,0,0,1,8706,0.956046342633852,133,6,6,0,0,1,8706,0.0,0,0,0,0,0,0,0
44b6_7a302da0,44b6,0.9531534045312552,490,24,17,0,0,1,44857,0.9531534045312552,490,24,17,0,0,1,44857,0.0,0,0,0,0,0,0,0
44b6_7e557709,44b6,0.966427856664276,544,14,16,0,0,0,45003,0.966427856664276,544,14,16,0,0,0,45003,0.0,0,0,0,0,0,0,0
44b6_808952d6,44b6,1.004110024139245,179,0,0,0,0,0,15095,1.004110024139245,179,0,0,0,0,0,15095,0.0,0,0,0,0,0,0,0
44b6_81c256f0,44b6,0.9877437325905292,197,0,0,0,0,0,11284,0.9877437325905292,197,0,0,0,0,0,11284,0.0,0,0,0,0,0,0,0
