variant,embryo,score,delta_v3,association_control,association_control_score,delta_refinement_with_same_association
D_real,44b6,0.9093052169910478,-0.0223592517307942,C1_relinked,0.9099343659969372,-0.0006291490058893956
D_real,6bba,0.9054492876225156,-0.0297724964748115,C1_relinked,0.9071230398141126,-0.0016737521915969333
D_real,pooled,0.9060483745450284,-0.0287539997155575,C1_relinked,0.9075599497094348,-0.0015115751644063646
D_synthetic,44b6,0.9082378218616788,-0.0234266468601633,C1_relinked,0.9099343659969372,-0.0016965441352584376
D_synthetic,6bba,0.9057513635225312,-0.0294704205747957,C1_relinked,0.9071230398141126,-0.001371676291581414
D_synthetic,pooled,0.9061378344105858,-0.0286645398500001,C1_relinked,0.9075599497094348,-0.0014221152988489472
D_synthetic_C4,44b6,0.9236575107892276,-0.0080069579326144,C4_relinked,0.9226871977375086,0.0009703130517190184
D_synthetic_C4,6bba,0.9216915105426908,-0.013530273554636,C4_relinked,0.921903160590209,-0.00021165004751821925
D_synthetic_C4,pooled,0.9221718197162996,-0.0126305545442862,C4_relinked,0.9222584184177874,-8.659870148786109e-05
