case,model,temperature,checkpoint_sha256,rows,nll,accuracy,positive,positive_pair_correct,false_pair
duplicates,G_synthetic,1.0,bd00c9743056ffd0539f6231013518830e0e17c343bf1bd6b94d959531941817,4095,0.16810202598571777,0.9382173382173382,235,172,226
duplicates,G_fish,1.0,762f051cb7f3388dc2b39db63a612ab424ce3a1adc76449ca93ae99945f86cdf,4095,0.9756234288215637,0.6195360195360196,235,159,1517
duplicates,G_combined,1.0,44408e1652f7541598c313eab78554af2eceed7533284d11e0d4875e6dc224e7,4095,0.26663097739219666,0.8993894993894994,235,176,386
duplicates,G_multispecies,1.0,4388f4b948c722187a6f81287b45aaf0b071ce3392956a7e8244cc9a5bcd5bb1,4095,0.2877623736858368,0.8888888888888888,235,179,431
duplicates,G_real_44b6,1.0,d75c36c694a2d4795fbfccb1d77b155bfae194196e7e8548b664406d20727746,4095,8.165679931640625,0.9396825396825397,235,0,13
duplicates,G_real_6bba,1.0,c52e48740701b9fb842bd20e14662401e707c48c792c2a0331ee72136205f490,4095,6.703296661376953,0.895970695970696,235,17,226
duplicates,I_synthetic,1.0,283e04d14b79c5f9f2d8fd3377d57447e70c8e88e4b8eff117409cded45c1b3a,4095,0.30101048946380615,0.9006105006105006,235,165,377
duplicates,I_real_44b6,1.0,485263f64ea8cb338244bfa27a313558eb4e38348194809f64282db27ba822b4,4095,8.43029499053955,0.7907203907203907,235,2,652
duplicates,I_real_6bba,1.0,16677691ba6c5871311b651a412eb9ef5af8f1dbd89fb76c4432ed03f3b2be94,4095,4.514109134674072,0.874969474969475,235,1,293
duplicates,I_randomized_44b6,1.0,3c05d08048d4657a086c4233be3b3638a9a0f2839fb4cf0e69abf1bc53fa7819,4095,0.30613136291503906,0.9028083028083028,235,169,368
duplicates,I_randomized_6bba,1.0,2b62c3be927c99f73404deff9e43f567ba2a3ab00af42bb27927d466f7331ed7,4095,0.312025249004364,0.9003663003663004,235,165,375
clipped_daughter,G_synthetic,1.0,bd00c9743056ffd0539f6231013518830e0e17c343bf1bd6b94d959531941817,3985,0.15946559607982635,0.9387703889585948,115,105,237
clipped_daughter,G_fish,1.0,762f051cb7f3388dc2b39db63a612ab424ce3a1adc76449ca93ae99945f86cdf,3985,1.0687018632888794,0.5365119196988708,115,96,1841
clipped_daughter,G_combined,1.0,44408e1652f7541598c313eab78554af2eceed7533284d11e0d4875e6dc224e7,3985,0.27860739827156067,0.8946047678795483,115,105,415
clipped_daughter,G_multispecies,1.0,4388f4b948c722187a6f81287b45aaf0b071ce3392956a7e8244cc9a5bcd5bb1,3985,0.3014182150363922,0.879297365119197,115,103,476
clipped_daughter,G_real_44b6,1.0,d75c36c694a2d4795fbfccb1d77b155bfae194196e7e8548b664406d20727746,3985,3.1748011112213135,0.970138017565872,115,2,7
clipped_daughter,G_real_6bba,1.0,c52e48740701b9fb842bd20e14662401e707c48c792c2a0331ee72136205f490,3985,2.348745584487915,0.952823086574655,115,18,94
clipped_daughter,I_synthetic,1.0,283e04d14b79c5f9f2d8fd3377d57447e70c8e88e4b8eff117409cded45c1b3a,3985,0.24863210320472717,0.91267252195734,115,97,339
clipped_daughter,I_real_44b6,1.0,485263f64ea8cb338244bfa27a313558eb4e38348194809f64282db27ba822b4,3985,4.948823928833008,0.8662484316185697,115,0,422
clipped_daughter,I_real_6bba,1.0,16677691ba6c5871311b651a412eb9ef5af8f1dbd89fb76c4432ed03f3b2be94,3985,2.264275312423706,0.9272271016311167,115,0,180
clipped_daughter,I_randomized_44b6,1.0,3c05d08048d4657a086c4233be3b3638a9a0f2839fb4cf0e69abf1bc53fa7819,3985,0.25657567381858826,0.914930991217064,115,99,330
clipped_daughter,I_randomized_6bba,1.0,2b62c3be927c99f73404deff9e43f567ba2a3ab00af42bb27927d466f7331ed7,3985,0.2643272280693054,0.9139272271016311,115,99,335
short_history,G_synthetic,1.0,bd00c9743056ffd0539f6231013518830e0e17c343bf1bd6b94d959531941817,4095,0.2484569400548935,0.9164835164835164,179,147,318
short_history,G_fish,1.0,762f051cb7f3388dc2b39db63a612ab424ce3a1adc76449ca93ae99945f86cdf,4095,1.1702170372009277,0.5560439560439561,179,130,1792
short_history,G_combined,1.0,44408e1652f7541598c313eab78554af2eceed7533284d11e0d4875e6dc224e7,4095,0.3059752881526947,0.8864468864468864,179,154,448
short_history,G_multispecies,1.0,4388f4b948c722187a6f81287b45aaf0b071ce3392956a7e8244cc9a5bcd5bb1,4095,0.33735767006874084,0.874969474969475,179,152,495
short_history,G_real_44b6,1.0,d75c36c694a2d4795fbfccb1d77b155bfae194196e7e8548b664406d20727746,4095,6.790279865264893,0.9553113553113554,179,1,5
short_history,G_real_6bba,1.0,c52e48740701b9fb842bd20e14662401e707c48c792c2a0331ee72136205f490,4095,4.79740047454834,0.938949938949939,179,21,99
short_history,I_synthetic,1.0,283e04d14b79c5f9f2d8fd3377d57447e70c8e88e4b8eff117409cded45c1b3a,4095,0.339664101600647,0.8835164835164835,179,123,457
short_history,I_real_44b6,1.0,485263f64ea8cb338244bfa27a313558eb4e38348194809f64282db27ba822b4,4095,3.7362020015716553,0.9181929181929182,179,0,162
short_history,I_real_6bba,1.0,16677691ba6c5871311b651a412eb9ef5af8f1dbd89fb76c4432ed03f3b2be94,4095,3.530954360961914,0.8962148962148963,179,1,258
short_history,I_randomized_44b6,1.0,3c05d08048d4657a086c4233be3b3638a9a0f2839fb4cf0e69abf1bc53fa7819,4095,0.34550368785858154,0.8864468864468864,179,127,443
short_history,I_randomized_6bba,1.0,2b62c3be927c99f73404deff9e43f567ba2a3ab00af42bb27927d466f7331ed7,4095,0.35716769099235535,0.8788766788766789,179,123,473
