arm,embryo,score,original_export_score,delta_B0,delta_B1,division_jaccard,adj_edge_jaccard,edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes
B0,44b6,0.9125211431134657,0.9125211431134657,0.0,,0.09803921568627451,0.9027172215448382,18783,1322,1043,5,25,21,1980130
B0,6bba,0.9115967648894652,0.9115967648894652,0.0,,0.09137055837563451,0.9024597090519018,103418,5563,5639,18,72,107,2153557
