variant,embryo,samples,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,seconds,requested_keep,realized_keep,baseline_tp_rematched_surviving,newly_recovered_tp,lost_tp,removed_fp,introduced_fp,delta
D_temporal_p0.1,44b6,71,71,0.8878028049298767,0.06741573033707865,6,63,20,0.9885509592005769,0.9023483210036649,71,0.9090898940373727,18801,1351,1025,1980130,71.97232110053301,1.0,1.0,18783,18,0,0,29,-0.003431249076092935
D_temporal_p0.1,6bba,128,128,0.9022034962838898,0.10747663551401869,23,89,102,0.9802489030388399,0.9023933117425439,128,0.9131409752939458,103425,5579,5632,2153557,123.54180959891528,1.0,1.0,103418,7,0,0,16,0.001544210404480606
D_temporal_p0.1,pooled,199,199,0.8999580305272691,0.09570957095709572,29,152,122,0.9832109431769471,0.9023862964429978,199,0.9119572535387074,122226,6930,6657,4133687,195.5141306994483,1.0,1.0,122201,25,0,0,45,0.00018323932006503174
EF_native_geometry_transfer_r0.98,44b6,71,71,0.9000620140247102,0.09803921568627451,5,25,21,0.9872823673234009,0.9162595673204428,71,0.9260634888890702,18868,1137,958,1940628,87.85709370533004,0.98,0.980050804745143,18769,99,14,193,8,0.013542345775604536
EF_native_geometry_transfer_r0.98,6bba,128,128,0.9116140988818916,0.09693877551020408,19,71,106,0.9792051793053721,0.9136310737641293,128,0.9233249513151497,103790,4796,5267,2110671,128.2437177845277,0.98,0.9800859693985347,103276,514,142,833,66,0.011728186425684517
EF_native_geometry_transfer_r0.98,pooled,199,199,0.9098178257773558,0.09716599190283401,24,96,127,0.9820869901057743,0.9140397871988923,199,0.9237563863891758,122658,5933,6225,4051299,216.10081148985773,0.98,0.9800691247305372,122045,613,156,1026,74,0.01198237217053344
EF_native_quality_transfer_r0.99,44b6,71,71,0.9002146434533747,0.09803921568627451,5,25,21,0.9880624351836232,0.9156609883866129,71,0.9254649099552403,18873,1139,953,1960448,89.07507720962167,0.99,0.9900602485695383,18774,99,9,191,8,0.012943766841774673
EF_native_quality_transfer_r0.99,6bba,128,128,0.9122521936951576,0.09693877551020408,19,71,106,0.9797769775423831,0.9133586101778414,128,0.9230524877288617,103859,4792,5198,2132197,128.67772542033345,0.99,0.9900815255876673,103350,509,68,829,58,0.011455722839396554
EF_native_quality_transfer_r0.99,pooled,199,199,0.910380227572804,0.09716599190283401,24,96,127,0.9827330955952879,0.9137166542915602,199,0.9234332534818437,122732,5931,6151,4092645,217.7528026299551,0.99,0.9900713334125201,122124,608,77,1020,66,0.011659239263201338
EF_risk_transfer,44b6,71,71,0.8918377088305489,0.09803921568627451,5,25,21,0.9758073863766317,0.9127149444929383,71,0.9225188660615657,18684,1124,1142,1799836,83.0733901700005,1.0,0.9089484023776216,18432,252,351,330,132,0.009997722948100085
EF_risk_transfer,6bba,128,128,0.8965638456806397,0.09693877551020408,19,71,106,0.9639924619416151,0.8990383300253825,128,0.9087322075764028,102020,4733,7037,2119048,132.42637264775112,1.0,0.9839758130386147,101349,671,2069,971,141,-0.0028645573130623436
