embryo,seeds,mean_control_score,min_control_score,max_control_score,std_control_score,mean_primary_minus_control,min_primary_minus_control,max_primary_minus_control
44b6,20,0.6525579117626266,0.6275235267050264,0.664004903364954,0.008880722542801183,0.06277110850413781,0.05132411690181038,0.08780549356173795
6bba,20,0.6286398356100198,0.6218176250963178,0.6316665179613034,0.0026993399451559633,0.04132383967156499,0.038297157320281494,0.048146050185267075
pooled,20,0.6323187642099963,0.6261210690255792,0.6359966772474436,0.0026536425169487532,0.044587959495365204,0.04091004645791796,0.050785654679782355
