embryo,candidate_nodes,matched_nodes,ambiguous_candidates,missed_gt,ambiguous_candidate_fraction
44b6,2890526,19088,5339,1109,0.0018470686650111433
6bba,2246135,104187,23298,8934,0.010372484289679828
