embryo,control,seed,requested_keep,primary_score,control_score,primary_minus_control,primary_annotation_recall,control_annotation_recall,realized_nodes,samples,exact_per_video_node_counts
44b6,quality_exact,20260908,0.1,0.25267069526104774,0.11337942498012894,0.1392912702809188,0.25827745180217937,0.11232187761944677,290293,71,True
44b6,quality_exact,20260908,0.3,0.4612269698879443,0.358552933592721,0.10267403629522331,0.5144069572506287,0.3941219614417435,868244,71,True
44b6,quality_exact,20260908,0.5,0.5973679402238596,0.5014489654060692,0.09591897481779044,0.7118608549874267,0.5996961441743504,1446100,71,True
44b6,quality_exact,20260908,0.7,0.6844745890684681,0.6308196249004008,0.053654964168067365,0.8679274937133278,0.8006601005867561,2024209,71,True
44b6,quality_exact,20260908,0.8,0.7021136436559985,0.6700685910102336,0.03204505264576485,0.9251362112321878,0.8801341156747695,2312976,71,True
44b6,quality_exact,20260908,0.9,0.7153290202667644,0.7066720765933733,0.008656943673391093,0.9774203688181056,0.9677284157585918,2601862,71,True
44b6,random_exact,0,0.9,0.7153290202667644,0.6603514375994896,0.054977582667274816,0.9774203688181056,0.9096814752724225,2601862,71,True
44b6,random_exact,1,0.9,0.7153290202667644,0.6497618829288212,0.06556713733794317,0.9774203688181056,0.8972129086336965,2601862,71,True
44b6,random_exact,2,0.9,0.7153290202667644,0.6598877765783018,0.055441243688462594,0.9774203688181056,0.9090528080469404,2601862,71,True
44b6,random_exact,3,0.9,0.7153290202667644,0.6426878567872416,0.07264116347952276,0.9774203688181056,0.893336127409891,2601862,71,True
44b6,random_exact,4,0.9,0.7153290202667644,0.6275235267050264,0.08780549356173795,0.9774203688181056,0.8739522212908634,2601862,71,True
44b6,random_exact,5,0.9,0.7153290202667644,0.644059393212946,0.07126962705381834,0.9774203688181056,0.8904547359597653,2601862,71,True
44b6,random_exact,6,0.9,0.7153290202667644,0.6587673401436945,0.056561680123069835,0.9774203688181056,0.9115150880134115,2601862,71,True
44b6,random_exact,7,0.9,0.7153290202667644,0.6601124815972025,0.05521653866956189,0.9774203688181056,0.9028185247275775,2601862,71,True
44b6,random_exact,8,0.9,0.7153290202667644,0.6545283772488641,0.060800643017900224,0.9774203688181056,0.9041282481139983,2601862,71,True
44b6,random_exact,9,0.9,0.7153290202667644,0.6452003702024923,0.07012865006427205,0.9774203688181056,0.8897736797988265,2601862,71,True
44b6,random_exact,10,0.9,0.7153290202667644,0.6441631297797283,0.07116589048703603,0.9774203688181056,0.8891450125733446,2601862,71,True
44b6,random_exact,11,0.9,0.7153290202667644,0.6592886472598328,0.05604037300693154,0.9774203688181056,0.9080574182732607,2601862,71,True
44b6,random_exact,12,0.9,0.7153290202667644,0.6611908696958523,0.05413815057091209,0.9774203688181056,0.9143964794635373,2601862,71,True
44b6,random_exact,13,0.9,0.7153290202667644,0.6520873464328697,0.06324167383389467,0.9774203688181056,0.8993084660519698,2601862,71,True
44b6,random_exact,14,0.9,0.7153290202667644,0.654005113250375,0.061323907016389345,0.9774203688181056,0.9037615255658005,2601862,71,True
44b6,random_exact,15,0.9,0.7153290202667644,0.6501216204980738,0.06520739976869061,0.9774203688181056,0.9017183570829841,2601862,71,True
44b6,random_exact,16,0.9,0.7153290202667644,0.6482473416656105,0.06708167860115388,0.9774203688181056,0.8964270746018441,2601862,71,True
44b6,random_exact,17,0.9,0.7153290202667644,0.664004903364954,0.05132411690181038,0.9774203688181056,0.9151299245599329,2601862,71,True
44b6,random_exact,18,0.9,0.7153290202667644,0.66129151806486,0.0540375022019044,0.9774203688181056,0.9090004191114837,2601862,71,True
44b6,random_exact,19,0.9,0.7153290202667644,0.6538773022362949,0.06145171803046945,0.9774203688181056,0.9030280804694049,2601862,71,True
6bba,quality_exact,20260908,0.1,0.1424074070142404,0.10017004007094439,0.04223736694329601,0.14720646529797385,0.1055985871557872,226726,128,True
6bba,quality_exact,20260908,0.3,0.33412289126543193,0.2694832144290045,0.0646396768364274,0.37402938946317676,0.3031568237879966,675264,128,True
6bba,quality_exact,20260908,0.5,0.4951346389807305,0.42309517345068176,0.07203946553004875,0.599345407776402,0.5048902454240932,1124403,128,True
6bba,quality_exact,20260908,0.7,0.6039287252085761,0.5652330969237984,0.03869562828477768,0.799773484215881,0.7296015817712382,1573511,128,True
6bba,quality_exact,20260908,0.8,0.6471979263693111,0.6282491802260614,0.018948746143249706,0.8914451898989317,0.8493670035609049,1797974,128,True
6bba,quality_exact,20260908,0.9,0.6699636752815848,0.6648591371495617,0.005104538132023162,0.9636710914029581,0.9464136600535575,2022415,128,True
6bba,random_exact,0,0.9,0.6699636752815848,0.6279903867064572,0.04197328857512761,0.9636710914029581,0.9012064844942267,2022415,128,True
6bba,random_exact,1,0.9,0.6699636752815848,0.6218176250963178,0.048146050185267075,0.9636710914029581,0.8938927121425898,2022415,128,True
6bba,random_exact,2,0.9,0.6699636752815848,0.6316665179613034,0.038297157320281494,0.9636710914029581,0.9029629416337931,2022415,128,True
6bba,random_exact,3,0.9,0.6699636752815848,0.6286072533954619,0.041356421886122985,0.9636710914029581,0.8996131955042376,2022415,128,True
6bba,random_exact,4,0.9,0.6699636752815848,0.6304209472577819,0.03954272802380299,0.9636710914029581,0.9042394924510736,2022415,128,True
6bba,random_exact,5,0.9,0.6699636752815848,0.6278178485658111,0.042145826715773715,0.9636710914029581,0.8994692236075518,2022415,128,True
6bba,random_exact,6,0.9,0.6699636752815848,0.6270782274901118,0.042885447791473075,0.9636710914029581,0.8979143271233455,2022415,128,True
6bba,random_exact,7,0.9,0.6699636752815848,0.626114632426904,0.04384904285468083,0.9636710914029581,0.8964170193978136,2022415,128,True
6bba,random_exact,8,0.9,0.6699636752815848,0.6303880929792327,0.03957558230235214,0.9636710914029581,0.9013216620115754,2022415,128,True
6bba,random_exact,9,0.9,0.6699636752815848,0.6303245624793883,0.03963911280219656,0.9636710914029581,0.9050553331989596,2022415,128,True
6bba,random_exact,10,0.9,0.6699636752815848,0.6283643275546914,0.04159934772689344,0.9636710914029581,0.8981542802844885,2022415,128,True
6bba,random_exact,11,0.9,0.6699636752815848,0.6305890337682335,0.03937464151335135,0.9636710914029581,0.9029629416337931,2022415,128,True
6bba,random_exact,12,0.9,0.6699636752815848,0.6311744517784693,0.03878922350311553,0.9636710914029581,0.9040475299221592,2022415,128,True
6bba,random_exact,13,0.9,0.6699636752815848,0.6300771681466693,0.039886507134915594,0.9636710914029581,0.9041819036923993,2022415,128,True
6bba,random_exact,14,0.9,0.6699636752815848,0.6303625288895162,0.03960114639206869,0.9636710914029581,0.9032124929213817,2022415,128,True
6bba,random_exact,15,0.9,0.6699636752815848,0.6280112668783003,0.041952408403284513,0.9636710914029581,0.8997283730215861,2022415,128,True
6bba,random_exact,16,0.9,0.6699636752815848,0.630434169231491,0.039529506050093866,0.9636710914029581,0.9028861566222274,2022415,128,True
6bba,random_exact,17,0.9,0.6699636752815848,0.6275734316723564,0.042390243609228495,0.9636710914029581,0.9020511196214499,2022415,128,True
6bba,random_exact,18,0.9,0.6699636752815848,0.6313649360347392,0.03859873924684565,0.9636710914029581,0.9014080451495868,2022415,128,True
6bba,random_exact,19,0.9,0.6699636752815848,0.6226193038871606,0.04734437139442427,0.9636710914029581,0.8911380498526688,2022415,128,True
pooled,quality_exact,20260908,0.1,0.15963399861753602,0.10222322818376167,0.05741077043377435,0.16440478604745487,0.10663962685053742,517019,199,True
pooled,quality_exact,20260908,0.3,0.35420145667103264,0.2835487706184972,0.07065268605253544,0.3957655647941594,0.3172419387548165,1543508,199,True
pooled,quality_exact,20260908,0.5,0.5112417802518763,0.4355546363590955,0.07568714389278075,0.6167673899817481,0.5195700669235449,2570503,199,True
pooled,quality_exact,20260908,0.7,0.6164464466394977,0.5754707230535171,0.04097572358598056,0.8103265057797607,0.7406043398904888,3597720,199,True
pooled,quality_exact,20260908,0.8,0.6556924008237768,0.6347219785457912,0.020970422277985623,0.896661934698844,0.8541310079091462,4110950,199,True
pooled,quality_exact,20260908,0.9,0.6769067237053615,0.6712707019898431,0.005636021715518469,0.9658000405597242,0.9497140539444332,4624277,199,True
pooled,random_exact,0,0.9,0.6769067237053615,0.6329611551647152,0.04394556854064635,0.9658000405597242,0.9025187588724397,4624277,199,True
pooled,random_exact,1,0.9,0.6769067237053615,0.6261210690255792,0.050785654679782355,0.9658000405597242,0.8944068140336646,4624277,199,True
pooled,random_exact,2,0.9,0.6769067237053615,0.6359966772474436,0.04091004645791796,0.9658000405597242,0.9039059014398703,4624277,199,True
pooled,random_exact,3,0.9,0.6769067237053615,0.6307805344442672,0.04612618926109435,0.9658000405597242,0.8986412492395052,4624277,199,True
pooled,random_exact,4,0.9,0.6769067237053615,0.6299739783336392,0.04693274537172232,0.9658000405597242,0.899549787061448,4624277,199,True
pooled,random_exact,5,0.9,0.6769067237053615,0.6303191254455129,0.046587598259848595,0.9658000405597242,0.8980734131007909,4624277,199,True
pooled,random_exact,6,0.9,0.6769067237053615,0.6319592042411565,0.044947519464205055,0.9658000405597242,0.900020279862097,4624277,199,True
pooled,random_exact,7,0.9,0.6769067237053615,0.6313346520593178,0.04557207164604371,0.9658000405597242,0.8974082336240113,4624277,199,True
pooled,random_exact,8,0.9,0.6769067237053615,0.6341083157117275,0.04279840799363399,0.9658000405597242,0.9017562360575948,4624277,199,True
