embryo,variant_id,model_id,policy,seed,requested_keep,source_rule_role,baseline_score,delta,n,edge_jaccard,division_jaccard,division_tp,division_fp,division_fn,node_recall,adj_edge_jaccard,n_adj,score,edge_tp,edge_fp,edge_fn,num_pred_nodes,realized_keep,prevalence,annotation_recall,specificity,precision,phi,deleted_annotation_rate,deleted_rate_relative_to_population,candidate_nodes,matched_nodes,kept_matched_nodes,old_tp_endpoint_survival,old_tp_rematched_survival,newly_recovered_tp,baseline_edge_jaccard,baseline_division_jaccard,baseline_adj_edge_jaccard,baseline_edge_tp,baseline_edge_fp,baseline_edge_fn,baseline_count_ratio_of_sums,filtered_count_ratio_of_sums,baseline_count_ratio_mean_of_ratios,filtered_count_ratio_mean_of_ratios,rematched_nodes,rematched_gt_node_recall,gt_node_recall_mean_of_ratios,fp_retained_ratio,alpha0_score,alpha0_delta,count_effect,graph_effect,division_effect,count_share_of_positive_delta,break_even_weighted_tp_ratio,measured_weighted_tp_ratio
44b6,identity__identity__s20260908__r1,identity,identity,20260908,1.0,baseline,0.9125211431134657,0.0,71,0.8881690940041611,0.09803921568627451,5,25,21,0.9885509592005769,0.9027172215448382,71,0.9125211431134657,18783,1322,1043,1980130,1.0,0.01009024659997071,1.0,0.0,0.01009024659997071,,,,1980130,19980,19980,1.0,1.0,0,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.7560720435896555,0.8334933498200422,0.8334933498200422,19980,0.9892558300737734,0.9885509592005771,1.0,0.8979730155727885,0.0,0.0,0.0,0.0,,1.0000000000000002,1.0
44b6,random__random_nodes__s0__r0.9,random,random_nodes,0,0.9,preregistered_descriptive,0.9125211431134657,-0.1733122504170599,71,0.7124395686128673,0.09090909090909091,4,18,22,0.9149399308856603,0.7301179836054967,71,0.7392088926964058,15326,1686,4500,1782150,0.9000166655724624,0.01009024659997071,0.9002002002002002,0.0999852052138867,0.010092304239261565,6.177062846505433e-05,0.010071724416607739,0.9981643478006748,1980130,19980,17986,0.8108928286216259,0.8102007134110631,108,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.6804774396041192,0.8334933498200422,0.7501634547552392,18470,0.9144922513244541,0.9149399308856603,1.275340393343419,0.7215304777037763,-0.1764425378690122,0.006687891146049174,-0.17928712908539068,-0.0007130124777183777,,1.009710011365294,0.8160092608832314
44b6,random__random_nodes__s0__r0.8,random,random_nodes,0,0.8,preregistered_descriptive,0.9125211431134657,-0.32478562548284484,71,0.5639878206311127,0.05,2,14,24,0.8345981612209481,0.5827355176306208,71,0.5877355176306208,12225,1850,7601,1584130,0.800013130451031,0.01009024659997071,0.8019519519519519,0.20000663214549907,0.010114700182434523,0.0004893748170932066,0.009992424242424242,0.9903052560135893,1980130,19980,16023,0.6420699568758984,0.6412713624021722,180,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.6048675624386687,0.8334933498200422,0.6668090832503406,16918,0.83764915581522,0.8345981612209481,1.399394856278366,0.5689878206311128,-0.3289851949416758,0.012132419178293663,-0.33211412309251076,-0.004803921568627745,,1.0137418434448957,0.6509417244616433
44b6,random__random_nodes__s0__r0.7,random,random_nodes,0,0.7,preregistered_descriptive,0.9125211431134657,-0.4531091744103406,71,0.4385948651404208,0.02564102564102564,1,13,25,0.7506490510301789,0.4568478661390225,71,0.45941196870312506,9464,1752,10362,1386126,0.7000176756071571,0.01009024659997071,0.7014014014014014,0.29999642884473127,0.010110192002747225,0.00030486024141738473,0.01004370340940465,0.9953873089121336,1980130,19980,14014,0.4909226428153117,0.49007080871000375,259,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.5292637945451838,0.8334933498200422,0.5834659912368062,15220,0.7535772639500916,0.7506490510301786,1.325264750378215,0.44115896770452334,-0.4568140478682652,0.016626022350793468,-0.462495377756609,-0.007239819004525083,,1.003743687237783,0.5039338575678836
44b6,random__random_nodes__s0__r0.5,random,random_nodes,0,0.5,preregistered_descriptive,0.9125211431134657,-0.6589402248941576,71,0.2365617086339529,0.03225806451612903,1,5,25,0.5646172945034681,0.2503551117676952,71,0.2535809182193081,4951,1103,14875,990081,0.5000080802775575,0.01009024659997071,0.4983983983983984,0.49997551207815727,0.010057762950708073,-0.00032502976905166123,0.01012273129915792,1.0032194157858645,1980130,19980,9958,0.2476175264867167,0.24724484906564448,307,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.3780421310667934,0.8334933498200422,0.4167575610853458,11422,0.5655295340892211,0.5646172945034681,0.8343419062027232,0.2397875150855658,-0.6581855004872227,0.02349810463678638,-0.6758602144139291,-0.006578115117014838,,0.9574699255889716,0.2636189591767102
44b6,random__random_nodes__s0__r0.3,random,random_nodes,0,0.3,preregistered_descriptive,0.9125211431134657,-0.8107979418060248,71,0.0946152707171413,0.0,0,0,26,0.35679296587526604,0.10172320130744081,71,0.10172320130744081,1917,435,17909,594067,0.30001414048572567,0.01009024659997071,0.3021021021021021,0.7000071423105375,0.010160470115323693,0.00046000240613077283,0.01006014878111601,0.9970171374349972,1980130,19980,6036,0.09103977000479156,0.09088005111004632,210,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.2268323043028366,0.8334933498200422,0.2500646771177634,7289,0.3608951824528395,0.3567929658752661,0.3290468986384266,0.0946152707171413,-0.8033577448556473,0.028739213465520747,-0.829733233702918,-0.009803921568627638,,0.9157261840271246,0.10208048291622232
44b6,random__random_nodes__s0__r0.1,random,random_nodes,0,0.1,preregistered_descriptive,0.9125211431134657,-0.8991120514045474,71,0.012281673126289827,0.0,0,0,26,0.12688038493181122,0.01340909170891823,71,0.01340909170891823,244,41,19582,198043,0.10001515052042037,0.01009024659997071,0.10345345345345346,0.9000198964364972,0.010437127290537914,0.001157035623616347,0.010051697812733048,0.99617959909545,1980130,19980,2067,0.011233562263749134,0.011233562263749134,33,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.07561865924390122,0.8334933498200422,0.08336721359933046,2601,0.1287815022032975,0.12688038493181125,0.031013615733736764,0.012281673126289827,-0.8856913424464987,0.03387362191042569,-0.9231817517463454,-0.009803921568627638,,0.8841626786699102,0.012992376706402995
44b6,random__random_tracklets__s0__r0.9,random,random_tracklets,0,0.9,preregistered_descriptive,0.9125211431134657,-0.0710440876303764,71,0.8094386674822378,0.12195121951219512,5,15,21,0.917247679958806,0.8292819335318697,71,0.8414770554830893,17203,1427,2623,1783412,0.9006539974648129,0.01009024659997071,0.8976476476476476,0.09931535851848072,0.010056565729063167,-0.0010147017587075588,0.010395591659126261,1.0302614070062905,1980130,19980,17935,0.8978863866262046,0.897779907363041,340,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.6809593084304135,0.8334933498200422,0.7509308133181319,18431,0.9125612714759618,0.9172476799588059,1.079425113464448,0.8216337894334573,-0.0763392261393312,0.00704625707012313,-0.08048154508309141,0.002391200382591885,,0.9941908102861462,0.9157399187345452
44b6,random__random_tracklets__s0__r0.8,random,random_tracklets,0,0.8,preregistered_descriptive,0.9125211431134657,-0.15179247411461283,71,0.7313964386129335,0.05405405405405406,2,11,24,0.8345032003364411,0.7553232635934475,71,0.7607286689988528,15608,1514,4218,1585587,0.8007489407261139,0.01009024659997071,0.7971971971971972,0.1992148560059179,0.01004549103896538,-0.000897730913626031,0.010270109975338556,1.017825468742099,1980130,19980,15928,0.797902358515679,0.7973167225682798,632,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.6054238880170448,0.8334933498200422,0.667621619849139,16855,0.8345298806753478,0.834503200336441,1.1452344931921332,0.7368018440183388,-0.1611711715544497,0.013508453267346177,-0.16090241121873683,-0.004398516163222177,,0.9976557507353463,0.8307127373758679
44b6,random__random_tracklets__s0__r0.7,random,random_tracklets,0,0.7,preregistered_descriptive,0.9125211431134657,-0.2116575998164757,71,0.6702859549773015,0.029411764705882353,1,8,25,0.7695293162266726,0.6979223668264017,71,0.70086354329699,14322,1541,5504,1387783,0.7008544893517092,0.01009024659997071,0.7200700700700701,0.2993413769354386,0.010366894536105429,0.004236931354829546,0.009442100660592524,0.9357651041571108,1980130,19980,14387,0.7209178512484694,0.7202257360379066,794,0.8881690940041611,0.09803921568627451,0.9027172215448382,18783,1322,1043,0.7560720435896555,0.5298964860231312,0.8334933498200422,0.5845700672596423,15558,0.7703124226370253,0.7695293162266726,1.165658093797277,0.6732271314478897,-0.22474588412489882,0.019480864127605024,-0.2242757188460412,-0.006862745098039524,,0.9936177716989032,0.7624047278705576
